RM,LSTAT,PTRATIO
5.303999999999999,24.91,20.2
5.834,8.47,21.0
6.031000000000001,7.83,16.9
6.103,23.29,20.2
5.727,11.28,21.0
6.431,5.08,19.6
6.037000000000001,8.01,20.2
6.382999999999999,5.77,17.3
6.152,26.45,20.2
6.852,19.78,20.2
6.31,6.75,20.2
6.144,9.45,17.8
7.162999999999999,6.36,17.4
6.207999999999999,15.17,20.2
7.765,7.56,17.8
5.599,16.51,21.0
5.707000000000001,12.01,19.2
6.481,6.36,16.6
5.593,12.5,19.1
6.487,5.9,19.1
5.957000000000001,20.62,20.2
6.021,10.3,17.8
6.169,5.81,17.9
6.041,7.7,19.6
6.516,6.36,17.9
7.155,4.82,17.8
6.152,15.02,14.7
7.82,3.76,14.9
5.6129999999999995,27.26,19.1
6.332999999999999,7.34,16.9
6.072,13.04,21.0
6.0920000000000005,17.09,17.8
5.186,28.32,14.7
6.425,12.03,20.2
6.059,8.51,20.2
6.816,3.95,15.1
6.604,4.38,15.6
5.9239999999999995,16.3,21.0
5.99,14.67,21.0
6.345,4.97,14.8
5.787000000000001,10.24,16.1
5.404,23.98,18.6
5.531000000000001,27.38,20.2
6.249,10.59,18.2
6.129,15.12,14.7
6.406000000000001,19.52,20.2
5.813,19.88,21.0
8.725,4.63,17.4
6.436,16.22,20.2
6.251,16.44,20.2
6.43,5.21,18.7
6.176,12.04,17.8
5.682,10.21,17.9
5.935,6.58,21.0
5.926,18.13,20.2
6.398,7.79,20.2
6.997999999999999,2.94,18.7
5.683,22.98,20.2
6.153,13.15,17.8
5.7410000000000005,13.15,19.7
6.195,13.0,20.9
6.376,6.87,19.6
5.56,10.45,13.0
6.6739999999999995,11.98,21.0
8.398,5.91,13.0
6.185,18.03,20.2
5.813,14.81,21.0
6.172000000000001,19.15,15.2
5.983,13.35,20.1
6.474,12.27,20.9
5.85,8.77,19.2
6.943,4.59,14.7
6.437,14.36,20.2
5.872000000000001,15.37,17.8
6.254,10.45,17.8
6.546,5.33,16.6
7.178,2.87,15.2
6.537999999999999,7.73,18.6
4.9030000000000005,29.29,14.7
4.906000000000001,34.77,20.2
5.52,24.56,20.2
6.212000000000001,17.6,20.2
6.8260000000000005,4.16,17.6
6.9510000000000005,9.71,17.4
6.749,17.44,20.2
5.019,34.41,21.2
6.683,3.73,20.2
5.877999999999999,8.1,18.9
6.251,14.19,20.2
6.319,11.1,14.7
5.569,15.1,19.2
5.8870000000000005,16.35,20.2
5.987,26.77,20.2
6.8,5.03,15.6
6.718,6.56,19.1
6.229,15.55,20.9
6.4110000000000005,15.02,20.2
6.13,27.8,14.7
6.442,8.16,18.2
5.012,12.12,14.7
6.879,9.93,17.4
7.236000000000001,6.93,18.4
6.167000000000001,7.51,19.0
6.433,9.52,19.1
6.101,9.81,14.7
8.375,3.32,14.7
6.975,4.56,17.0
7.412000000000001,5.25,17.4
6.273,6.78,18.7
6.122000000000001,5.98,18.4
